ts_code,trade_date,label
000001.SH,20210303,-2.2748440201238167
000001.SH,20210304,-2.094487006851879
000001.SH,20210305,-4.347066017557923
000001.SH,20210308,-6.083821919204166
000001.SH,20210309,-6.12728967183776
000001.SH,20210310,-1.9026818845519708
000001.SH,20210311,-1.3966072458242091
000001.SH,20210312,-0.9594947718668424
000001.SH,20210315,-0.18372885151121127
000001.SH,20210316,-0.2179736644790715
000001.SH,20210317,0.2893187141430422
000001.SH,20210318,-1.6865016313135757
000001.SH,20210319,-0.5668066417752559
000001.SH,20210322,-1.4888329802119655
000001.SH,20210323,-2.7723249219384445
000001.SH,20210324,-2.8724990998588784
000001.SH,20210325,-0.7292854190659074
000001.SH,20210326,-0.2364903088749158
000001.SH,20210329,0.6223859965712387
000001.SH,20210330,-0.42714727782169787
000001.SH,20210331,0.2793116370793842
000001.SH,20210401,0.5210378753445942
000001.SH,20210402,-0.04089665676001882
000001.SH,20210406,-0.13680433925869914
000001.SH,20210407,-0.05273803260506173
000001.SH,20210408,-0.9676062891194486
000001.SH,20210409,-2.0504206127874696
000001.SH,20210412,-2.483439839258909
000001.SH,20210413,-1.8903823135819693
000001.SH,20210414,-2.3995975598144126
000001.SH,20210415,-0.6972370524834979
000001.SH,20210416,1.4863256707532393
000001.SH,20210419,-0.13244387533343727
000001.SH,20210420,-0.13281482630651995
000001.SH,20210421,-0.3575708577464784
000001.SH,20210422,-0.0972667958477118
000001.SH,20210423,-1.0462168967593022
000001.SH,20210426,-0.90827266169779
000001.SH,20210427,-0.4921382570665825
000001.SH,20210428,0.02115903500294257
000001.SH,20210429,-0.807064696028325
000001.SH,20210430,-0.9674663834317484
000001.SH,20210506,-1.6123336574960376
000001.SH,20210507,-1.349972233742142
000001.SH,20210510,-0.9512702390292458
000001.SH,20210511,0.4611419263071064
000001.SH,20210512,-0.9592141370360642
000001.SH,20210513,0.7977731464572767
000001.SH,20210514,0.7804201736191039
000001.SH,20210517,0.3240433477698158
000001.SH,20210518,-0.5114657508906745
000001.SH,20210519,-0.6253870769130374
000001.SH,20210520,-1.203097952788177
000001.SH,20210521,-0.8991830693578389
000001.SH,20210524,1.4827766075423248
000001.SH,20210525,0.33549436694369195
000001.SH,20210526,0.431176195407247
000001.SH,20210527,-0.22351437259513
000001.SH,20210528,0.18362078542068955
000001.SH,20210531,0.25547111027360003
000001.SH,20210601,-0.7607745472207991
000001.SH,20210602,-1.1173764946628284
000001.SH,20210603,-0.9068053869522028
000001.SH,20210604,-0.694476899114084
000001.SH,20210607,-1.2306488859892903
000001.SH,20210608,-0.22626495989349424
000001.SH,20210609,0.3144289785836768
000001.SH,20210610,-0.5846503560510278
000001.SH,20210611,-1.503797295878908
000001.SH,20210615,-2.562542597204716
000001.SH,20210616,-2.3610669926463523
000001.SH,20210617,-2.375119050619273
000001.SH,20210618,-1.68717966589354
000001.SH,20210621,0.023983856306054967
000001.SH,20210622,0.2475929130502677
000001.SH,20210623,0.012169748702253095
000001.SH,20210624,1.1469545727439423
000001.SH,20210625,-0.03297518007869345
000001.SH,20210628,-0.9531063334798536
000001.SH,20210629,-0.4536249385942559
000001.SH,20210630,-0.5205787465650664
000001.SH,20210701,-2.461560048673313
000001.SH,20210702,-1.9978525788325376
000001.SH,20210705,-1.6968743290886106
000001.SH,20210706,-1.0437049262404798
000001.SH,20210707,-1.7632084382064277
000001.SH,20210708,-0.8337020788523971
000001.SH,20210709,-0.16544093076667513
000001.SH,20210712,0.360383379029645
000001.SH,20210713,-1.0660636516382578
000001.SH,20210714,-0.054178825452522485
000001.SH,20210715,-0.7631719693342717
000001.SH,20210716,-0.7682553523775636
000001.SH,20210719,-0.8336411728791833
000001.SH,20210720,-0.054118422925594364
000001.SH,20210721,0.2845825026394262
000001.SH,20210722,-0.6808337984494663
000001.SH,20210723,-3.0014397713016034
000001.SH,20210726,-5.414419040474719
000001.SH,20210727,-5.962538083948274
000001.SH,20210728,-4.560070253051519
000001.SH,20210729,-4.310476430181154
000001.SH,20210730,-0.09100371400706056
000001.SH,20210802,-0.4703423107114767
000001.SH,20210803,0.3733295184051505
000001.SH,20210804,-0.3068400703941929
000001.SH,20210805,-0.5461520308214225
000001.SH,20210806,0.5008658356998223
000001.SH,20210809,1.010008256084442
